k	3.000000 	 M	12	 rho	1.333333	 D	10 	 L_mean	1866.301704 	 L_feasible	27 	 sum_bw	2133 	 net_u	0.126185		 timeTopo	17.8530 	 Tong link 	12 	Efficiency 	 0.444444 	 Avg links/path 	3.300000 	 Tong BER 	1.933550e-06
k	3.000000 	 M	12	 rho	1.333333	 D	15 	 L_mean	1866.301704 	 L_feasible	27 	 sum_bw	2841 	 net_u	0.198741		 timeTopo	0.3440 	 Tong link 	17 	Efficiency 	 0.629630 	 Avg links/path 	3.800000 	 Tong BER 	3.894119e-04
k	2.000000 	 M	5	 rho	1.250000	 D	5 	 L_mean	1128.439157 	 L_feasible	8 	 sum_bw	1108 	 net_u	0.138500		 timeTopo	3.5940 	 Tong link 	4 	Efficiency 	 0.500000 	 Avg links/path 	1.800000 	 Tong BER 	5.964069e-05
k	2.000000 	 M	5	 rho	1.250000	 D	5 	 L_mean	1128.439157 	 L_feasible	8 	 sum_bw	1108 	 net_u	0.138500		 timeTopo	0.1090 	 Tong link 	4 	Efficiency 	 0.500000 	 Avg links/path 	1.800000 	 Tong BER 	5.964069e-05
k	2.000000 	 M	6	 rho	1.500000	 D	7 	 L_mean	968.958327 	 L_feasible	13 	 sum_bw	1532 	 net_u	0.129538		 timeTopo	4.8430 	 Tong link 	7 	Efficiency 	 0.538462 	 Avg links/path 	1.857143 	 Tong BER 	2.272577e-14
k	2.500000 	 M	8	 rho	1.280000	 D	14 	 L_mean	1278.445579 	 L_feasible	18 	 sum_bw	2717 	 net_u	0.218278		 timeTopo	7.7130 	 Tong link 	10 	Efficiency 	 0.555556 	 Avg links/path 	2.642857 	 Tong BER 	3.380254e-05
k	3.000000 	 M	12	 rho	1.333333	 D	10 	 L_mean	1866.301704 	 L_feasible	27 	 sum_bw	2133 	 net_u	0.126185		 timeTopo	17.0940 	 Tong link 	12 	Efficiency 	 0.444444 	 Avg links/path 	3.300000 	 Tong BER 	1.933550e-06
k	3.000000 	 M	12	 rho	1.333333	 D	10 	 L_mean	1866.301704 	 L_feasible	27 	 sum_bw	2133 	 net_u	0.126185		 timeTopo	0.3750 	 Tong link 	12 	Efficiency 	 0.444444 	 Avg links/path 	3.300000 	 Tong BER 	1.933550e-06
k	3.000000 	 M	12	 rho	1.333333	 D	10 	 L_mean	1866.301704 	 L_feasible	27 	 sum_bw	2133 	 net_u	0.126185	k	3.000000 	 M	12	 rho	1.333333	 D	10 	 L_mean	1866.301704 	 L_feasible	27 	 sum_bw	2133 	 net_u	0.126185		 timeTopo	0.3750 	 Tong link 	12 	Efficiency 	 0.444444 	 Avg links/path 	3.300000 	 Tong BER 	1.933550e-06
k	3.000000 	 M	12	 rho	1.333333	 D	10 	 L_mean	1866.301704 	 L_feasible	27 	 sum_bw	2133 	 net_u	0.126185		 timeTopo	0.4210 	 Tong link 	12 	Efficiency 	 0.444444 	 Avg links/path 	3.300000 	 Tong BER 	1.933550e-06
k	3.000000 	 M	12	 rho	1.333333	 D	10 	 L_mean	1866.301704 	 L_feasible	27 	 sum_bw	2133 	 net_u	0.126185		 timeTopo	0.3280 	 Tong link 	12 	Efficiency 	 0.444444 	 Avg links/path 	3.300000 	 Tong BER 	1.933550e-06
k	2.000000 	 M	5	 rho	1.250000	 D	5 	 L_mean	1128.439157 	 L_feasible	8 	 sum_bw	1108 	 net_u	0.138500		 timeTopo	4.3460 	 Tong link 	4 	Efficiency 	 0.500000 	 Avg links/path 	1.800000 	 Tong BER 	5.964069e-05
