#He so k la
3.0
#Number of Nodes
10
# list of nodes 
#x #y #z 
2444.17 2717.38 12.70
2740.13 1897.08 9.75
835.49 1640.64 95.75
2894.67 472.84 97.06
2871.50 1456.13 80.03
425.66 1265.28 91.57
2376.62 2878.48 65.57
107.14 2547.39 93.40
2036.21 2273.22 74.31
1176.68 1966.43 17.12
#nguong BER 
0.001
#Ma tran yeu cau D 
#source_index dest_index bw don vi Mbps 
4 6 385
10 5 479
3 8 239
1 5 364
5 6 342
6 2 439
9 7 216
10 1 486
10 4 488
2 7 286
7 1 447
2 9 359
2 1 412
10 6 365
3 1 209
10 9 335
1 9 293
5 4 426
9 1 295
4 9 381
3 4 267
10 7 359
3 10 474
6 3 397
7 10 499
1 2 210
9 10 333
9 8 248
9 4 468
8 2 347
1 6 305
7 9 407
5 7 314
8 6 450
6 4 276
8 1 409
1 4 302
1 3 413
6 1 229
2 3 427
4 10 245
8 5 445
4 3 283
5 3 404
7 3 248
